WARNING:tensorflow:From /home/er3s56/onsager_deep_learning/tools/problems.py:45: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /usr/local/lib/python2.7/dist-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From /usr/local/lib/python2.7/dist-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
norms xval:224.5516510 yval:224.0477230
Linear trainrate=0.5 fine tuning all H0:0,theta0:0,vs0:0,H1:0,G1:0,vs1:0,theta1:0,H2:0,G2:0,vs2:0,theta2:0

i=0      nmse=-1.705712 dB (best=-1.705712)

i=10     nmse=-1.738880 dB (best=-1.738880)
i=20     nmse=-1.771154 dB (best=-1.771154)
i=30     nmse=-1.802469 dB (best=-1.802469)
i=40     nmse=-1.832883 dB (best=-1.832883)
i=50     nmse=-1.862320 dB (best=-1.862320)
i=60     nmse=-1.890840 dB (best=-1.890839)
i=70     nmse=-1.918360 dB (best=-1.918360)
i=80     nmse=-1.944939 dB (best=-1.944939)
i=90     nmse=-1.970611 dB (best=-1.970611)
i=100    nmse=-1.995378 dB (best=-1.995378)
i=110    nmse=-2.019337 dB (best=-2.019337)
i=1640   nmse=-2.900020 dB (best=-2.900020)
i=1650   nmse=-2.901083 dB (best=-2.901083)
i=1660   nmse=-2.902002 dB (best=-2.902002)
i=1670   nmse=-2.902877 dB (best=-2.902877)
i=1680   nmse=-2.903789 dB (best=-2.903789)
i=1690   nmse=-2.904746 dB (best=-2.904746)
i=1700   nmse=-2.905672 dB (best=-2.905671)
i=1710   nmse=-2.906564 dB (best=-2.906564)
i=1720   nmse=-2.907479 dB (best=-2.907479)
i=1730   nmse=-2.908520 dB (best=-2.908520)
i=1740   nmse=-2.909416 dB (best=-2.909416)
i=1750   nmse=-2.910241 dB (best=-2.910241)
i=1760   nmse=-2.911032 dB (best=-2.911033)
i=1770   nmse=-2.911883 dB (best=-2.911883)
i=1780   nmse=-2.912826 dB (best=-2.912826)
i=1790   nmse=-2.913781 dB (best=-2.913781)
i=1800   nmse=-2.914694 dB (best=-2.914694)
i=1810   nmse=-2.915668 dB (best=-2.915668)
i=1820   nmse=-2.916615 dB (best=-2.916614)
i=1830   nmse=-2.917490 dB (best=-2.917490)
i=1840   nmse=-2.918272 dB (best=-2.918272)
i=1850   nmse=-2.919077 dB (best=-2.919077)
i=1860   nmse=-2.919887 dB (best=-2.919887)
i=1870   nmse=-2.920686 dB (best=-2.920686)
i=1880   nmse=-2.921431 dB (best=-2.921431)
i=1890   nmse=-2.922101 dB (best=-2.922101)
i=1900   nmse=-2.922901 dB (best=-2.922901)
i=1910   nmse=-2.923684 dB (best=-2.923684)
i=1920   nmse=-2.924514 dB (best=-2.924514)
i=1930   nmse=-2.925273 dB (best=-2.925273)
i=1940   nmse=-2.926031 dB (best=-2.926031)
i=1950   nmse=-2.926745 dB (best=-2.926744)
i=1960   nmse=-2.927482 dB (best=-2.927482)
i=1970   nmse=-2.928165 dB (best=-2.928165)
i=1980   nmse=-2.928801 dB (best=-2.928801)
i=1990   nmse=-2.929542 dB (best=-2.929542)
i=2000   nmse=-2.930184 dB (best=-2.930184)

i=2010   nmse=-2.930749 dB (best=-2.930749)
i=2020   nmse=-2.931302 dB (best=-2.931302)
i=2030   nmse=-2.931956 dB (best=-2.931956)
i=2040   nmse=-2.932505 dB (best=-2.932505)
i=2050   nmse=-2.933055 dB (best=-2.933055)
i=2060   nmse=-2.933670 dB (best=-2.933670)
i=2070   nmse=-2.934261 dB (best=-2.934261)
i=2080   nmse=-2.934896 dB (best=-2.934896)
i=2090   nmse=-2.935553 dB (best=-2.935552)
i=2100   nmse=-2.936157 dB (best=-2.936157)
i=2110   nmse=-2.936777 dB (best=-2.936777)
i=2120   nmse=-2.937408 dB (best=-2.937408)
i=2130   nmse=-2.937940 dB (best=-2.937940)
i=2140   nmse=-2.938567 dB (best=-2.938567)
i=2150   nmse=-2.939177 dB (best=-2.939177)
i=2160   nmse=-2.939792 dB (best=-2.939792)
i=2170   nmse=-2.940445 dB (best=-2.940445)
i=2180   nmse=-2.941006 dB (best=-2.941006)
i=2190   nmse=-2.941581 dB (best=-2.941581)
i=2200   nmse=-2.941982 dB (best=-2.941981)
